Mes,Semana,fecha,Estrato,Grupo,Hora,Brix jugo,Pol jugo,Pureza jugo,% AR jugo,Glucobrix,Acidez,% Jugo,Brix caña,Pol caña,Pza. caña,Rdto. Pol Bascula,% Fibra caña,Calidad Caña,Humedad caña,Variedad,ENVIO
Noviembre,1,06-nov-19,BAJO,1,15,16.78,13.76,82.00,,,,71.15,14.55,11.44,78.65,114.45,13.15,8.93,72.30,CP 731547,432000048
Noviembre,1,06-nov-19,BAJO,1,6,17.21,13.87,80.59,1.03,5.98,2.40,68.42,14.35,11.09,77.29,110.94,14.39,8.58,71.25,CP 731547,424000033
Noviembre,1,06-nov-19,BAJO,1,11,16.06,13.63,84.87,0.71,4.42,2.80,72.84,14.26,11.61,81.39,116.06,12.38,9.22,73.36,CP 731547,432000010
Noviembre,1,06-nov-19,BAJO,1,13,17.71,14.72,83.12,,,,71.18,15.36,12.25,79.71,122.48,13.14,9.63,71.50,CP 731547,432000054
Noviembre,1,06-nov-19,BAJO,1,17,18.56,15.38,82.87,1.50,8.08,2.00,71.44,16.16,12.84,79.47,128.44,13.02,10.08,70.82,CP 731547,432000058
Noviembre,1,06-nov-19,BAJO,1,3,14.34,11.20,78.10,,,,71.86,12.56,9.41,74.91,94.09,12.83,7.15,74.61,CP 722086,424000081
Noviembre,1,06-nov-19,BAJO,2,11,17.65,15.09,85.50,,,,72.10,15.51,12.72,82.00,127.19,12.72,10.14,71.77,CP 731547,399000054
Noviembre,1,06-nov-19,BAJO,2,0,18.16,15.53,85.52,0.63,3.47,2.10,71.69,15.87,13.02,82.02,130.16,12.90,10.38,71.23,CP 881165,399000072
Noviembre,1,06-nov-19,BAJO,2,9,16.42,13.13,79.96,0.53,3.23,3.20,72.77,14.56,11.17,76.69,111.69,12.41,8.60,73.02,CP 881165,399000064
Noviembre,1,06-nov-19,BAJO,2,11,18.36,16.60,90.41,0.52,2.83,2.60,71.83,16.07,13.94,86.71,139.39,12.84,11.42,71.08,CP 881165,399000010
Noviembre,1,06-nov-19,BAJO,3,3,19.13,16.32,85.31,,,,70.21,16.37,13.39,81.82,133.95,13.58,10.67,70.05,CG 9846,410000046
Noviembre,1,06-nov-19,BAJO,3,4,16.55,13.56,81.93,,,,69.67,14.05,11.04,78.58,110.44,13.83,8.61,72.12,CG 9846,410000071
Noviembre,1,06-nov-19,BAJO,3,6,18.23,15.65,85.85,0.56,3.07,2.70,69.13,15.36,12.65,82.33,126.47,14.07,10.11,70.57,CG 9846,410000041
Noviembre,1,06-nov-19,BAJO,3,6,17.69,14.81,83.72,,,,72.06,15.54,12.48,80.29,124.76,12.73,9.84,71.73,CG 9846,410000047
Noviembre,1,06-nov-19,BAJO,3,9,17.65,14.76,83.63,0.63,3.57,3.50,70.64,15.20,12.19,80.20,121.89,13.38,9.61,71.42,CG 9846,411000012
Noviembre,1,06-nov-19,BAJO,3,12,18.02,15.26,84.68,,,,72.32,15.89,12.90,81.22,129.02,12.62,10.24,71.50,CG 9846,411000016
Noviembre,1,06-nov-19,BAJO,3,18,17.98,14.98,83.31,0.93,5.17,2.40,70.46,15.44,12.34,79.90,123.39,13.46,9.71,71.09,CG 9846,411000059
Noviembre,1,06-nov-19,BAJO,3,22,17.07,14.38,84.24,0.63,3.69,2.20,69.69,14.50,11.71,80.79,117.15,13.82,9.27,71.68,CG 9846,411000056
Noviembre,1,06-nov-19,BAJO,5,2,15.09,12.20,80.85,0.61,4.04,3.10,74.90,13.78,10.68,77.54,106.82,11.44,8.27,74.78,CP 722086,407000016
Noviembre,1,06-nov-19,BAJO,5,3,15.99,12.34,77.17,,,,71.37,13.91,10.30,74.01,102.95,13.05,7.77,73.04,CP 722086,408000028
Noviembre,1,06-nov-19,BAJO,5,11,16.31,13.37,81.97,0.52,3.19,3.30,74.05,14.72,11.57,78.62,115.73,11.83,9.03,73.45,CP 722086,407000008
Noviembre,1,06-nov-19,BAJO,5,11,16.89,13.76,81.47,0.70,4.14,4.30,73.40,15.11,11.81,78.13,118.07,12.12,9.18,72.76,CP 722086,408000019
Noviembre,1,06-nov-19,BAJO,5,12,16.28,13.73,84.34,,,,74.00,14.68,11.88,80.88,118.78,11.85,9.41,73.46,CP 722086,407000012
Noviembre,1,06-nov-19,BAJO,5,14,17.53,14.56,83.06,0.68,3.88,3.60,73.94,15.80,12.59,79.66,125.85,11.88,9.89,72.32,CP 722086,409000046
Noviembre,1,06-nov-19,BAJO,5,16,17.63,14.61,82.87,0.54,3.06,3.80,69.36,14.90,11.85,79.48,118.45,13.97,9.30,71.13,CP 722086,409000032
Noviembre,1,06-nov-19,BAJO,5,0,17.18,13.65,79.45,0.44,2.56,3.00,71.93,15.06,11.48,76.20,114.78,12.79,8.80,72.14,CP 722086,409000094
